txName: T2ttC
constraint: 2.23*([[['b','jet','jet']],[['b','jet','jet']]])
[[[3.875000E+02*GeV,3.647000E+02*GeV],[3.875000E+02*GeV,3.647000E+02*GeV]],2.928400E-01*pb],
[[[3.875000E+02*GeV,3.597670E+02*GeV],[3.875000E+02*GeV,3.597670E+02*GeV]],2.904500E-01*pb],
[[[3.875000E+02*GeV,3.548330E+02*GeV],[3.875000E+02*GeV,3.548330E+02*GeV]],2.893800E-01*pb],
[[[3.875000E+02*GeV,3.499000E+02*GeV],[3.875000E+02*GeV,3.499000E+02*GeV]],2.976000E-01*pb],
[[[3.875000E+02*GeV,3.449670E+02*GeV],[3.875000E+02*GeV,3.449670E+02*GeV]],3.077500E-01*pb],
[[[3.875000E+02*GeV,3.400330E+02*GeV],[3.875000E+02*GeV,3.400330E+02*GeV]],3.192800E-01*pb],
[[[3.875000E+02*GeV,3.351000E+02*GeV],[3.875000E+02*GeV,3.351000E+02*GeV]],3.305600E-01*pb],
[[[3.875000E+02*GeV,3.301670E+02*GeV],[3.875000E+02*GeV,3.301670E+02*GeV]],3.538700E-01*pb],
[[[3.875000E+02*GeV,3.252330E+02*GeV],[3.875000E+02*GeV,3.252330E+02*GeV]],3.805100E-01*pb],
[[[3.875000E+02*GeV,3.203000E+02*GeV],[3.875000E+02*GeV,3.203000E+02*GeV]],4.419000E-01*pb],
[[[3.875000E+02*GeV,3.153670E+02*GeV],[3.875000E+02*GeV,3.153670E+02*GeV]],5.050800E-01*pb],
[[[3.875000E+02*GeV,3.104330E+02*GeV],[3.875000E+02*GeV,3.104330E+02*GeV]],5.679500E-01*pb],
[[[4.000000E+02*GeV,4.000000E+02*GeV],[4.000000E+02*GeV,4.000000E+02*GeV]],3.152400E-01*pb],
[[[4.000000E+02*GeV,3.870670E+02*GeV],[4.000000E+02*GeV,3.870670E+02*GeV]],3.152400E-01*pb],
[[[4.000000E+02*GeV,3.821330E+02*GeV],[4.000000E+02*GeV,3.821330E+02*GeV]],2.978000E-01*pb],
[[[4.000000E+02*GeV,3.772000E+02*GeV],[4.000000E+02*GeV,3.772000E+02*GeV]],2.817700E-01*pb],
[[[4.000000E+02*GeV,3.722670E+02*GeV],[4.000000E+02*GeV,3.722670E+02*GeV]],2.781100E-01*pb],
[[[4.000000E+02*GeV,3.673330E+02*GeV],[4.000000E+02*GeV,3.673330E+02*GeV]],2.760000E-01*pb],
[[[4.000000E+02*GeV,3.624000E+02*GeV],[4.000000E+02*GeV,3.624000E+02*GeV]],2.820600E-01*pb],
[[[4.000000E+02*GeV,3.574670E+02*GeV],[4.000000E+02*GeV,3.574670E+02*GeV]],2.902500E-01*pb],
[[[4.000000E+02*GeV,3.525330E+02*GeV],[4.000000E+02*GeV,3.525330E+02*GeV]],3.020600E-01*pb],
[[[4.000000E+02*GeV,3.476000E+02*GeV],[4.000000E+02*GeV,3.476000E+02*GeV]],3.136000E-01*pb],
[[[4.000000E+02*GeV,3.426670E+02*GeV],[4.000000E+02*GeV,3.426670E+02*GeV]],3.339500E-01*pb],
[[[4.000000E+02*GeV,3.377330E+02*GeV],[4.000000E+02*GeV,3.377330E+02*GeV]],3.573000E-01*pb],
[[[4.000000E+02*GeV,3.328000E+02*GeV],[4.000000E+02*GeV,3.328000E+02*GeV]],4.184100E-01*pb],
[[[4.000000E+02*GeV,3.278670E+02*GeV],[4.000000E+02*GeV,3.278670E+02*GeV]],4.812500E-01*pb],
[[[4.000000E+02*GeV,3.229330E+02*GeV],[4.000000E+02*GeV,3.229330E+02*GeV]],5.383000E-01*pb],
[[[4.125000E+02*GeV,4.125000E+02*GeV],[4.125000E+02*GeV,4.125000E+02*GeV]],3.025300E-01*pb],
[[[4.125000E+02*GeV,3.995670E+02*GeV],[4.125000E+02*GeV,3.995670E+02*GeV]],3.025300E-01*pb],
[[[4.125000E+02*GeV,3.946330E+02*GeV],[4.125000E+02*GeV,3.946330E+02*GeV]],2.890600E-01*pb],
[[[4.125000E+02*GeV,3.897000E+02*GeV],[4.125000E+02*GeV,3.897000E+02*GeV]],2.720400E-01*pb],
[[[4.125000E+02*GeV,3.847670E+02*GeV],[4.125000E+02*GeV,3.847670E+02*GeV]],2.650600E-01*pb],
[[[4.125000E+02*GeV,3.798330E+02*GeV],[4.125000E+02*GeV,3.798330E+02*GeV]],2.620000E-01*pb],
[[[4.125000E+02*GeV,3.749000E+02*GeV],[4.125000E+02*GeV,3.749000E+02*GeV]],2.705400E-01*pb],
[[[4.125000E+02*GeV,3.699670E+02*GeV],[4.125000E+02*GeV,3.699670E+02*GeV]],2.766700E-01*pb],
[[[4.125000E+02*GeV,3.650330E+02*GeV],[4.125000E+02*GeV,3.650330E+02*GeV]],2.881100E-01*pb],
[[[4.125000E+02*GeV,3.601000E+02*GeV],[4.125000E+02*GeV,3.601000E+02*GeV]],2.999200E-01*pb],
[[[4.125000E+02*GeV,3.551670E+02*GeV],[4.125000E+02*GeV,3.551670E+02*GeV]],3.240300E-01*pb],
[[[4.125000E+02*GeV,3.502330E+02*GeV],[4.125000E+02*GeV,3.502330E+02*GeV]],3.445100E-01*pb],
[[[4.125000E+02*GeV,3.453000E+02*GeV],[4.125000E+02*GeV,3.453000E+02*GeV]],3.844700E-01*pb],
[[[4.125000E+02*GeV,3.403670E+02*GeV],[4.125000E+02*GeV,3.403670E+02*GeV]],4.470300E-01*pb],
[[[4.125000E+02*GeV,3.354330E+02*GeV],[4.125000E+02*GeV,3.354330E+02*GeV]],5.008200E-01*pb],
[[[4.250000E+02*GeV,4.250000E+02*GeV],[4.250000E+02*GeV,4.250000E+02*GeV]],2.853600E-01*pb],
[[[4.250000E+02*GeV,4.120670E+02*GeV],[4.250000E+02*GeV,4.120670E+02*GeV]],2.853600E-01*pb],
[[[4.250000E+02*GeV,4.071330E+02*GeV],[4.250000E+02*GeV,4.071330E+02*GeV]],2.775700E-01*pb],
[[[4.250000E+02*GeV,4.022000E+02*GeV],[4.250000E+02*GeV,4.022000E+02*GeV]],2.646500E-01*pb],
[[[4.250000E+02*GeV,3.972670E+02*GeV],[4.250000E+02*GeV,3.972670E+02*GeV]],2.534400E-01*pb],
[[[4.250000E+02*GeV,3.923330E+02*GeV],[4.250000E+02*GeV,3.923330E+02*GeV]],2.469700E-01*pb],
[[[4.250000E+02*GeV,3.874000E+02*GeV],[4.250000E+02*GeV,3.874000E+02*GeV]],2.583400E-01*pb],
[[[4.250000E+02*GeV,3.824670E+02*GeV],[4.250000E+02*GeV,3.824670E+02*GeV]],2.670100E-01*pb],
[[[4.250000E+02*GeV,3.775330E+02*GeV],[4.250000E+02*GeV,3.775330E+02*GeV]],2.780800E-01*pb],
[[[4.250000E+02*GeV,3.726000E+02*GeV],[4.250000E+02*GeV,3.726000E+02*GeV]],2.895200E-01*pb],
[[[4.250000E+02*GeV,3.676670E+02*GeV],[4.250000E+02*GeV,3.676670E+02*GeV]],3.171900E-01*pb],
[[[4.250000E+02*GeV,3.627330E+02*GeV],[4.250000E+02*GeV,3.627330E+02*GeV]],3.416200E-01*pb],
[[[4.250000E+02*GeV,3.578000E+02*GeV],[4.250000E+02*GeV,3.578000E+02*GeV]],3.629100E-01*pb],
[[[4.250000E+02*GeV,3.528670E+02*GeV],[4.250000E+02*GeV,3.528670E+02*GeV]],4.023400E-01*pb],
[[[4.250000E+02*GeV,3.479330E+02*GeV],[4.250000E+02*GeV,3.479330E+02*GeV]],4.534300E-01*pb],
[[[4.375000E+02*GeV,4.375000E+02*GeV],[4.375000E+02*GeV,4.375000E+02*GeV]],2.707400E-01*pb],
[[[4.375000E+02*GeV,4.245670E+02*GeV],[4.375000E+02*GeV,4.245670E+02*GeV]],2.707400E-01*pb],
[[[4.375000E+02*GeV,4.196330E+02*GeV],[4.375000E+02*GeV,4.196330E+02*GeV]],2.629500E-01*pb],
[[[4.375000E+02*GeV,4.147000E+02*GeV],[4.375000E+02*GeV,4.147000E+02*GeV]],2.559100E-01*pb],
[[[4.375000E+02*GeV,4.097670E+02*GeV],[4.375000E+02*GeV,4.097670E+02*GeV]],2.447000E-01*pb],
[[[4.375000E+02*GeV,4.048330E+02*GeV],[4.375000E+02*GeV,4.048330E+02*GeV]],2.331000E-01*pb],
[[[4.375000E+02*GeV,3.999000E+02*GeV],[4.375000E+02*GeV,3.999000E+02*GeV]],2.444600E-01*pb],
[[[4.375000E+02*GeV,3.949670E+02*GeV],[4.375000E+02*GeV,3.949670E+02*GeV]],2.563100E-01*pb],
[[[4.375000E+02*GeV,3.900330E+02*GeV],[4.375000E+02*GeV,3.900330E+02*GeV]],2.672900E-01*pb],
[[[4.375000E+02*GeV,3.851000E+02*GeV],[4.375000E+02*GeV,3.851000E+02*GeV]],2.783600E-01*pb],
[[[4.375000E+02*GeV,3.801670E+02*GeV],[4.375000E+02*GeV,3.801670E+02*GeV]],3.060300E-01*pb],
[[[4.375000E+02*GeV,3.752330E+02*GeV],[4.375000E+02*GeV,3.752330E+02*GeV]],3.256500E-01*pb],
[[[4.375000E+02*GeV,3.703000E+02*GeV],[4.375000E+02*GeV,3.703000E+02*GeV]],3.465100E-01*pb],
[[[4.375000E+02*GeV,3.653670E+02*GeV],[4.375000E+02*GeV,3.653670E+02*GeV]],3.722000E-01*pb],
[[[4.375000E+02*GeV,3.604330E+02*GeV],[4.375000E+02*GeV,3.604330E+02*GeV]],4.211700E-01*pb],
[[[4.500000E+02*GeV,4.500000E+02*GeV],[4.500000E+02*GeV,4.500000E+02*GeV]],2.586700E-01*pb],
[[[4.500000E+02*GeV,4.370670E+02*GeV],[4.500000E+02*GeV,4.370670E+02*GeV]],2.586700E-01*pb],
[[[4.500000E+02*GeV,4.321330E+02*GeV],[4.500000E+02*GeV,4.321330E+02*GeV]],2.520200E-01*pb],
[[[4.500000E+02*GeV,4.272000E+02*GeV],[4.500000E+02*GeV,4.272000E+02*GeV]],2.458200E-01*pb],
[[[4.500000E+02*GeV,4.222670E+02*GeV],[4.500000E+02*GeV,4.222670E+02*GeV]],2.331600E-01*pb],
[[[4.500000E+02*GeV,4.173330E+02*GeV],[4.500000E+02*GeV,4.173330E+02*GeV]],2.203800E-01*pb],
[[[4.500000E+02*GeV,4.124000E+02*GeV],[4.500000E+02*GeV,4.124000E+02*GeV]],2.322600E-01*pb],
[[[4.500000E+02*GeV,4.074670E+02*GeV],[4.500000E+02*GeV,4.074670E+02*GeV]],2.445600E-01*pb],
[[[4.500000E+02*GeV,4.025330E+02*GeV],[4.500000E+02*GeV,4.025330E+02*GeV]],2.554600E-01*pb],
[[[4.500000E+02*GeV,3.976000E+02*GeV],[4.500000E+02*GeV,3.976000E+02*GeV]],2.664400E-01*pb],
[[[4.500000E+02*GeV,3.926670E+02*GeV],[4.500000E+02*GeV,3.926670E+02*GeV]],2.855900E-01*pb],
[[[4.500000E+02*GeV,3.877330E+02*GeV],[4.500000E+02*GeV,3.877330E+02*GeV]],2.957500E-01*pb],
[[[4.500000E+02*GeV,3.828000E+02*GeV],[4.500000E+02*GeV,3.828000E+02*GeV]],3.211200E-01*pb],
[[[4.500000E+02*GeV,3.778670E+02*GeV],[4.500000E+02*GeV,3.778670E+02*GeV]],3.523900E-01*pb],
[[[4.500000E+02*GeV,3.729330E+02*GeV],[4.500000E+02*GeV,3.729330E+02*GeV]],4.039900E-01*pb],
[[[4.625000E+02*GeV,4.625000E+02*GeV],[4.625000E+02*GeV,4.625000E+02*GeV]],2.496900E-01*pb],
[[[4.625000E+02*GeV,4.495670E+02*GeV],[4.625000E+02*GeV,4.495670E+02*GeV]],2.496900E-01*pb],
[[[4.625000E+02*GeV,4.446330E+02*GeV],[4.625000E+02*GeV,4.446330E+02*GeV]],2.438500E-01*pb],
[[[4.625000E+02*GeV,4.397000E+02*GeV],[4.625000E+02*GeV,4.397000E+02*GeV]],2.349100E-01*pb],
[[[4.625000E+02*GeV,4.347670E+02*GeV],[4.625000E+02*GeV,4.347670E+02*GeV]],2.211100E-01*pb],
[[[4.625000E+02*GeV,4.298330E+02*GeV],[4.625000E+02*GeV,4.298330E+02*GeV]],2.117800E-01*pb],
[[[4.625000E+02*GeV,4.249000E+02*GeV],[4.625000E+02*GeV,4.249000E+02*GeV]],2.241000E-01*pb],
[[[4.625000E+02*GeV,4.199670E+02*GeV],[4.625000E+02*GeV,4.199670E+02*GeV]],2.339100E-01*pb],
[[[4.625000E+02*GeV,4.150330E+02*GeV],[4.625000E+02*GeV,4.150330E+02*GeV]],2.389100E-01*pb],
[[[4.625000E+02*GeV,4.101000E+02*GeV],[4.625000E+02*GeV,4.101000E+02*GeV]],2.498100E-01*pb],
[[[4.625000E+02*GeV,4.051670E+02*GeV],[4.625000E+02*GeV,4.051670E+02*GeV]],2.599800E-01*pb],
[[[4.625000E+02*GeV,4.002330E+02*GeV],[4.625000E+02*GeV,4.002330E+02*GeV]],2.800900E-01*pb],
[[[4.625000E+02*GeV,3.953000E+02*GeV],[4.625000E+02*GeV,3.953000E+02*GeV]],3.113700E-01*pb],
[[[4.625000E+02*GeV,3.903670E+02*GeV],[4.625000E+02*GeV,3.903670E+02*GeV]],3.318300E-01*pb],
[[[4.625000E+02*GeV,3.854330E+02*GeV],[4.625000E+02*GeV,3.854330E+02*GeV]],3.849100E-01*pb],
[[[4.750000E+02*GeV,4.750000E+02*GeV],[4.750000E+02*GeV,4.750000E+02*GeV]],2.434500E-01*pb],
[[[4.750000E+02*GeV,4.620670E+02*GeV],[4.750000E+02*GeV,4.620670E+02*GeV]],2.434500E-01*pb],
[[[4.750000E+02*GeV,4.571330E+02*GeV],[4.750000E+02*GeV,4.571330E+02*GeV]],2.346300E-01*pb],
[[[4.750000E+02*GeV,4.522000E+02*GeV],[4.750000E+02*GeV,4.522000E+02*GeV]],2.235300E-01*pb],
[[[4.750000E+02*GeV,4.472670E+02*GeV],[4.750000E+02*GeV,4.472670E+02*GeV]],2.135100E-01*pb],
[[[4.750000E+02*GeV,4.423330E+02*GeV],[4.750000E+02*GeV,4.423330E+02*GeV]],2.072200E-01*pb],
[[[4.750000E+02*GeV,4.374000E+02*GeV],[4.750000E+02*GeV,4.374000E+02*GeV]],2.170800E-01*pb],
[[[4.750000E+02*GeV,4.324670E+02*GeV],[4.750000E+02*GeV,4.324670E+02*GeV]],2.246900E-01*pb],
[[[4.750000E+02*GeV,4.275330E+02*GeV],[4.750000E+02*GeV,4.275330E+02*GeV]],2.236400E-01*pb],
[[[4.750000E+02*GeV,4.226000E+02*GeV],[4.750000E+02*GeV,4.226000E+02*GeV]],2.284800E-01*pb],
[[[4.750000E+02*GeV,4.176670E+02*GeV],[4.750000E+02*GeV,4.176670E+02*GeV]],2.488900E-01*pb],
[[[4.750000E+02*GeV,4.127330E+02*GeV],[4.750000E+02*GeV,4.127330E+02*GeV]],2.803900E-01*pb],
[[[4.750000E+02*GeV,4.078000E+02*GeV],[4.750000E+02*GeV,4.078000E+02*GeV]],3.005300E-01*pb],
[[[4.750000E+02*GeV,4.028670E+02*GeV],[4.750000E+02*GeV,4.028670E+02*GeV]],3.072000E-01*pb],
[[[4.750000E+02*GeV,3.979330E+02*GeV],[4.750000E+02*GeV,3.979330E+02*GeV]],3.521700E-01*pb],
[[[4.875000E+02*GeV,4.875000E+02*GeV],[4.875000E+02*GeV,4.875000E+02*GeV]],2.382200E-01*pb],
[[[4.875000E+02*GeV,4.745670E+02*GeV],[4.875000E+02*GeV,4.745670E+02*GeV]],2.382200E-01*pb],
[[[4.875000E+02*GeV,4.696330E+02*GeV],[4.875000E+02*GeV,4.696330E+02*GeV]],2.264300E-01*pb],
[[[4.875000E+02*GeV,4.647000E+02*GeV],[4.875000E+02*GeV,4.647000E+02*GeV]],2.158400E-01*pb],
[[[4.875000E+02*GeV,4.597670E+02*GeV],[4.875000E+02*GeV,4.597670E+02*GeV]],2.091100E-01*pb],
[[[4.875000E+02*GeV,4.548330E+02*GeV],[4.875000E+02*GeV,4.548330E+02*GeV]],2.022800E-01*pb],
[[[4.875000E+02*GeV,4.499000E+02*GeV],[4.875000E+02*GeV,4.499000E+02*GeV]],2.058500E-01*pb],
[[[4.875000E+02*GeV,4.449670E+02*GeV],[4.875000E+02*GeV,4.449670E+02*GeV]],2.136300E-01*pb],
[[[4.875000E+02*GeV,4.400330E+02*GeV],[4.875000E+02*GeV,4.400330E+02*GeV]],2.189600E-01*pb],
[[[4.875000E+02*GeV,4.351000E+02*GeV],[4.875000E+02*GeV,4.351000E+02*GeV]],2.179100E-01*pb],
[[[4.875000E+02*GeV,4.301670E+02*GeV],[4.875000E+02*GeV,4.301670E+02*GeV]],2.361400E-01*pb],
[[[4.875000E+02*GeV,4.252330E+02*GeV],[4.875000E+02*GeV,4.252330E+02*GeV]],2.676500E-01*pb],
[[[4.875000E+02*GeV,4.203000E+02*GeV],[4.875000E+02*GeV,4.203000E+02*GeV]],2.845800E-01*pb],
[[[4.875000E+02*GeV,4.153670E+02*GeV],[4.875000E+02*GeV,4.153670E+02*GeV]],2.912400E-01*pb],
[[[4.875000E+02*GeV,4.104330E+02*GeV],[4.875000E+02*GeV,4.104330E+02*GeV]],3.281100E-01*pb],
[[[5.000000E+02*GeV,5.000000E+02*GeV],[5.000000E+02*GeV,5.000000E+02*GeV]],2.353500E-01*pb],
